职位,最高薪资,最低薪资,薪资,全职/兼职,经验,学历,省份,城市,区域,经度,纬度,公司,公司领域,公司规模,公司类型,职位标签,职位描述,职位详情页,公司详情页
AI测试工程师助理,13000.0,8000.0,8千-1.3万·13薪,全职,1-2年,大专,,北京,,116.69437,39.90788,潍坊市博远人力资源,专业服务(咨询、人力资源、财会),1000-5000人,民营,"1-2年,大专,五险一金,补充医疗保险,补充公积金,员工旅游,交通补贴,年终奖金,绩效奖金,定期体检,通讯补贴","【工作内容】
- 协助进行人工智能相关产品的功能测试、性能测试及兼容性测试；
- 参与编写测试用例，执行测试计划并记录测试结果；
- 与开发团队沟通协作，跟踪并反馈测试中发现的问题；
- 支持自动化测试脚本的编写与维护，提升测试效率。
【任职要求】
-大专及以上学历，计算机科学、软件工程或相关专业优先；
- 对人工智能技术有一定了解，具备基本的编程能力（如Python）；
- 具备良好的逻辑思维能力和问题分析能力；
- 工作认真细致，责任心强，具有良好的沟通能力和团队合作精神。",https://jobs.51job.com/beijing-tzq/170966223.html?s=sou_sou_soulb&t=0_0&req=ca0ebd06b4037641eb334b6ec19c9729,https://jobs.51job.com/all/coBmEAZFAxAD0DZFY0Uz5Qbw.html
计算机视觉算法（文字、人脸、音视频）,60000.0,30000.0,3-6万,全职,3年及以上,硕士,,北京,,116.31536,39.987733,湖北微模式科技发展,计算机软件,50-150人,民营,"3年及以上,硕士,c++,人工智能,量化,opencv,计算机科学,信号处理,tensorflow,应用数学,模式识别,深度学习框架,五险一金,弹性工作,团队建设,绩效奖金,周末双休,下午茶福利","岗位职责：
1、研发面向金融场景的文档OCR技术，包括票据、合同、证件等图像中的文本检测、识别与关键字段结构化提取，支持复杂背景与低质量图像的高精度识别。
2、构建视频内容分析系统，实现行为识别、异常事件检测等功能，支撑金融办公场所与营业网点的智能监控。
3、算法适配国产化芯片及金融级硬件平台，满足低延迟、高并发的业务需求。

任职要求：
1、计算机科学、人工智能、模式识别、信号处理、信息安全、应用数学等相关专业硕士\博士。
2、熟练掌握Python/C++编程，具备c++开发经验优先。
3、熟悉PyTorch或TensorFlow等主流深度学习框架；
4、具备良好的算法工程化能力，能够高效复现前沿论文、优化模型性能并完成部署；
5、熟悉CNN、Transformer等主流网络架构，掌握DBNet、PaddleOCR、YOLO系列、ArcFace等典型模型及其常用损失函数。
6、熟练使用OpenCV、FFmpeg等图像/视频处理工具，具备模型轻量化（剪枝、量化、蒸馏）和推理加速经验者优先。
7、具备良好的沟通能力和团队协作精神，对金融科技领域有浓厚兴趣。
8、具有金融身份认证、票据处理、安防监控等相关项目经验者优先。",https://jobs.51job.com/beijing-hdq/170448268.html?s=sou_sou_soulb&t=0_0&req=ca0ebd06b4037641eb334b6ec19c9729,https://jobs.51job.com/all/coCW1QMwVmVW8AYFc1AmM.html
计算机视觉工程师,30000.0,15000.0,1.5-3万,兼职,1年及以上,本科,,北京,,116.271631,39.911522,北京舜天汇智科技,仪器仪表/工业自动化,少于50人,民营,"1年及以上,本科,计算机,自动化,c++,通信,数据结构算法,图像处理,滤波,多目标跟踪,特征匹配,图象处理","1. 统招本科及以上学历，一年以上工作经验，自动化、计算机、通信等相关专业。
2. 精通OpenCV图象算法库、熟练掌握C/C++，有良好的数据结构和算法基础。
3. 熟练运用图像处理的基本方法（滤波、多目标分割、特征匹配、边缘轮廓检测等图象处理技术）。
4. 具备视觉数粒或动态物体跟踪相关项目经验，优先考虑曾解决多目标跟踪与分割难题者。
5、薪资面谈。",https://jobs.51job.com/beijing-hdq/170202239.html?s=sou_sou_soulb&t=0_0&req=ca0ebd06b4037641eb334b6ec19c9729,https://jobs.51job.com/all/coUzMCYV4_AjUObgxtAWM.html
计算机类 英文学术期刊助理编辑,30000.0,15300.0,1.5-3万·13薪,全职,无需经验,硕士,,北京,,116.377495,39.974878,曼迪匹艾（北京）科技服务,文字媒体/出版,5000-10000人,民营,"无需经验,硕士,计算机,软件,网络工程,信息安全,物联网工程,数字媒体技术,带薪年假,子女福利,节日福利,团队奖励,岗位津贴,导师培养,年度体检,培训,六险一金,活动经费,津贴","一、工作职责
1. 负责联系专家学者，组织稿件的同行评审，确保稿件的同行评审及时完成；
2. 编排和处理稿件，确保稿件格式正确，及时发表；
3. 与期刊主编，编委成员，作者及审稿人建立良好沟通，确保期刊正常运作，稿件顺利及时发表；
4. 关注期刊学科领域内的研究进展，协助期刊责任编辑完成期刊发展目标。
二、职位要求
1. 硕士、博士；
2. 计算机科学与技术，软件工程，网络工程，信息安全，物联网工程，数字媒体技术，空间信息与数字技术或相关专业背景；
3. 英语六级；
4. 熟练office办公软件；
5. 学习能力强，能适应公司高强度职业培训，例如：参加职业培训讲座和一对一导师培训管理。
三、薪资福利
1. 薪酬待遇：月基本薪酬硕士15k以上，博士22-30k；
2. 基础福利：六险一金，带薪年假，年度体检，节日福利，活动经费，茶歇晚餐等；
3. 进阶福利：父母福利，子女福利，团队奖励，培训津贴，岗位津贴；
4. 职业发展：导师培养，技能培训，管理培训，优秀员工提供出国交流和工作机会。
四、办公地点
北京市海淀区北太平庄路18号城建大厦A座21层
乘车路线：地铁12/19号线-北太平庄站B口，步行100米",https://jobs.51job.com/beijing-hdq/170129539.html?s=sou_sou_soulb&t=0_0&req=ca0ebd06b4037641eb334b6ec19c9729,https://jobs.51job.com/all/coCW1WNQVmDzkEZQFmUDQ.html
计算机技术员（双休 五险一金）,12000.0,8000.0,8千-1.2万·13薪,全职,无需经验,大专,,北京,,116.24695,40.210137,北京棱澈科技,计算机软件,少于50人,民营,"无需经验,大专,培训,计算机,电脑,网络,信息系统,办公设备,信息化建设,软硬件,技术支持,双休,五险一金,发展平台,职业发展","【工作内容】
- 负责公司内部电脑、网络及办公设备的日常维护与技术支持；
- 协助解决员工在使用过程中遇到的软硬件问题；
- 定期检查系统运行状态，确保信息系统的稳定性和安全性；
- 配合完成公司信息化建设相关工作。
【任职要求】
- 大专及以上学历，计算机相关专业优先；
- 年龄22-32岁，男女不限；
- 无工作经验要求，有相关实习或培训经历者优先；
- 具备良好的沟通能力和责任心，能适应一定的工作压力。",https://jobs.51job.com/beijing/171542109.html?s=sou_sou_soulb&t=0_0&req=ca0ebd06b4037641eb334b6ec19c9729,https://jobs.51job.com/all/coVTIAZARlVmEAbQVgUjBVbg.html
计算机维护助理（双休）,12000.0,8000.0,8千-1.2万·13薪,全职,无需经验,大专,,北京,,116.337382,40.000238,河南腾桓人力资源,专业服务(咨询、人力资源、财会),,民营,"无需经验,大专,计算机,电脑,it,服务器,维护,操作系统,安全检查,打印机,维护管理,故障排查,双休,培训,补贴","入职公司名称：济南三合文化传媒有限公司

工作地点：北京海淀区清华科技园

职位名称：计算机维护助理
工作内容- 负责公司内部计算机硬件设备的日常维护与管理，包括但不限于电脑、打印机、服务器等；
- 协助处理软件安装、配置及更新，确保系统稳定运行；
- 定期进行设备巡检，记录并解决发现的问题，预防潜在故障；
- 提供IT技术支持，解答员工有关计算机使用中的疑问；
- 配合团队完成其他相关IT项目或任务，如网络搭建、安全检查等；
- 参与制定并执行IT设备管理流程及标准操作程序；
- 记录和跟踪所有维护活动，确保文档齐全可追溯。
工作要求- 具备基本的计算机软硬件知识，了解操作系统、网络原理者优先；
- 学习能力强，愿意接受新事物，有良好的服务意识和沟通技巧；
- 能够独立解决问题，具备一定的故障排查能力；
- 工作认真负责，注重细节，具有良好的团队合作精神；
- 不限工作经验，欢迎应届毕业生加入我们的团队；
- 拥有相关证书（如CompTIA A+）者将被优先考虑。
2、薪资详情

薪资范围：8000-12000

薪资结构：底薪＋全勤＋补助＋奖金",https://jobs.51job.com/beijing-hdq/164804333.html?s=sou_sou_soulb&t=0_0&req=ca0ebd06b4037641eb334b6ec19c9729,https://jobs.51job.com/all/coAm1TMwdjUW4AYwNiVDA.html
计算机网络管理员,8000.0,5000.0,5-8千,全职,无需经验,大专,,北京,,116.466851,39.887653,北京郡雅科贸,外包服务,50-150人,创业公司,"无需经验,大专,IT支持,五险一金,补充医疗保险,补充公积金,免费班车","岗位职责：
1、负责公司内部计算机网络的日常运行维护与管理；
2、进行网络设备的配置、调试和优化，确保网络系统的稳定性和高效性；
3、处理网络故障，确保网络服务的正常运行。

岗位要求：
1、大专及以上学历，计算机网络相关专业优先
3、熟悉TCP/IP协议及相关网络技术，了解常见的网络设备（如路由器、交换机等）的操作和配置；
4、具有良好的问题分析和解决能力，能够独立排查和处理网络故障；
5、具备较强的责任心和服务意识，能够保证工作质量和效率。",https://jobs.51job.com/beijing-cyq/171457435.html?s=sou_sou_soulb&t=0_0&req=ca0ebd06b4037641eb334b6ec19c9729,https://jobs.51job.com/all/coAGddOVAxBDJUMlMwVzNRbg.html
计算机测控系统设计师,15000.0,10000.0,1-1.5万,全职,5-7年,本科,,北京,,116.372145,40.105085,北京锐和昌航天科技,航天/航空,少于50人,民营,"5-7年,本科,计算机","从事各类控制单板、设备及系统设计。
从事各类测试单板、设备及系统设计。
相关专业的大学本科及以上学历，年龄不超过45周岁，特殊人才除外。
从事本专业工作5年及以上，有较丰富的设计经验；或高校应届毕业生。
至少熟练使用一种必须的设计工具。
工作认真负责、严谨仔细、勇于创新，有团队意识、吃苦精神。
 
 
福利待遇：
 
按国家法定假日休息；

年假、五险一金、午餐补贴、过节费、项目奖、年终奖、每年集体旅游一次。",https://jobs.51job.com/beijing-cpq/98846594.html?s=sou_sou_soulb&t=0_0&req=ca0ebd06b4037641eb334b6ec19c9729,https://jobs.51job.com/all/coAmZcMV84BTMCZgJkUTQ.html
计算机运维专员（双休 五险一金）,12000.0,8000.0,8千-1.2万·13薪,全职,无需经验,大专,,北京,,116.237422,40.229525,北京棱澈科技,计算机软件,少于50人,民营,"无需经验,大专,ai,双休,五险一金,培训","【工作内容】
- 负责公司内部网络及服务器的日常维护与监控，确保系统稳定运行；
- 处理用户提出的电脑、软件、网络等技术问题，提供及时有效的技术支持；
- 协助完成系统升级、数据备份及安全防护等相关工作；
- 配合其他部门完成信息化相关任务，提升整体工作效率。
【任职要求】
- 大专及以上学历，计算机相关专业优先；
- 年龄在22-32岁之间，具备良好的沟通能力和责任心；
- 无工作经验要求，有相关实习或培训经历者优先考虑；
- 熟悉Windows/Linux操作系统及基础网络知识，具备学习能力。",https://jobs.51job.com/beijing/171536347.html?s=sou_sou_soulb&t=0_0&req=ca0ebd06b4037641eb334b6ec19c9729,https://jobs.51job.com/all/coVTIAZARlVmEAbQVgUjBVbg.html
计算机文员（五险一金，双休）,10000.0,7000.0,7千-1万·13薪,全职,无需经验,大专,,北京,,116.309051,40.060874,山东星智海人力资源,专业服务(咨询、人力资源、财会),,民营,"无需经验,大专,计算机,办公软件,excel,行政,word,ppt,数据统计,信息维护,文档收发,会议记录,五险一金,双休,年终奖金,绩效奖金,带薪年假,五险,住宿,包食宿,包吃包住,节假日福利,住房补贴","【工作内容】
- 协助部门完成数据统计及信息维护工作；
- 处理日常行政事务，如文件收发、会议记录等；
- 配合团队完成其他与计算机相关的工作任务。
【任职要求】
- 大专及以上学历，专业不限，应届毕业生亦可；
- 熟悉常用办公软件（如Word、Excel、PPT）的操作；
- 具备良好的沟通能力和责任心，工作细致认真；
- 有较强的学习能力，能适应快节奏的工作环境；
- 持有计算机相关证书者优先考虑。
- 智唐科技（北京）股份有限公司
- 北京市顺义区天竺镇天竺家园17号17幢",https://jobs.51job.com/beijing/167593556.html?s=sou_sou_soulb&t=0_0&req=ca0ebd06b4037641eb334b6ec19c9729,https://jobs.51job.com/all/coAW4GZVYyATlRMgVlUj8.html
